Designator,Mid X,Mid Y,Rotation,Layer
C1,56.68,43.24,90.0,bottom
C11,59.2,43.25,270.0,top
C12,92.97,43.28,0.0,bottom
C13,54.21,39.64,180.0,top
C2,67.28,46.9,0.0,top
C22,56.2,47.79,0.0,top
C3,67.26,39.67,0.0,top
C4,62.65,43.27,270.0,top
C5,51.9,41.15,270.0,top
D1,87.5,40.7,0.0,top
D2,85.92,42.16,90.0,top
D3,72.13,43.32,270.0,top
D4,84.46,42.15,270.0,top
D5,59.67,41.37,180.0,top
D6,87.5,44.9,0.0,top
D7,84.46908,44.39,90.0,top
D8,85.93,44.37,270.0,top
D9,74.15,43.3,270.0,top
IC1,54.91,43.25,270.0,bottom
IC2,60.94,43.24,90.0,top
J1,97.6884,43.29176,90.0,bottom
J10,65.96,50.18,0.0,top
J11,65.9,36.31,0.0,top
J12,88.86,47.47,0.0,top
J13,90.68,47.42,0.0,top
J14,88.92,39.01,0.0,top
J15,90.72,38.97,0.0,top
J16,49.25,42.32,0.0,top
J17,97.2,42.38,0.0,top
J18,97.2,44.19,0.0,top
J19,49.25,44.14,0.0,top
J2,60.2996,47.5615,0.0,top
J20,95.69,43.29,0.0,top
J21,50.74,43.23,0.0,top
J3,60.36056,38.91788,0.0,top
J4,85.18144,47.53864,0.0,top
J5,48.7426,43.2308,180.0,bottom
J6,85.217,38.99408,0.0,top
J7,75.42,39.43,0.0,top
J8,95.68688,43.29176,180.0,bottom
J9,50.74412,43.23588,180.0,bottom
Q1,81.53,43.29,270.0,top
Q2,78.35,43.33,270.0,top
Q3,89.81,40.95,270.0,top
Q4,89.8,45.58,90.0,top
R1,57.6,47.31,270.0,top
R10,50.90668,39.1668,270.0,top
R11,50.91,41.04,270.0,top
R12,50.91176,47.3202,90.0,top
R13,50.9,45.45,90.0,top
R15,79.94,42.36,90.0,top
R18,79.94,44.24,90.0,top
R19,87.47,42.64,180.0,top
R2,60.0,45.15,180.0,top
R20,87.49,43.9,180.0,top
R21,53.85308,47.32528,270.0,top
R22,73.1,43.32,90.0,top
R23,61.54,41.37,0.0,top
R24,62.33,46.58,90.0,top
R25,58.55,47.31,270.0,top
R3,83.15,43.3,270.0,top
R34,52.86248,47.32528,270.0,top
R35,52.81,39.17,90.0,top
R36,51.87188,47.32528,90.0,top
R37,51.86,39.17,270.0,top
R4,61.87,45.17,0.0,top
R5,87.48,41.68,0.0,top
R6,55.59,39.19,90.0,top
R7,89.78,43.28,180.0,bottom
R8,75.2,43.3,90.0,top
R9,54.81,47.32,270.0,top
U1,55.6006,43.2562,270.0,top
